fid,name,latitude,longitude,gebied,domeinen,website,koepels
1,KeileCollectief,51.9081824825262,4.43320700481179,Keilekwartier/M4H,"Werken; Werkplaats",,Rotterdam Circulair
2,Gebiedscoöperatie Keilekwartier,51.908239486919,4.43335977169632,Keilekwartier/M4H,"Werken; Werkplaats; Cultuur",,Welzijnscoalitie
3,Keilewerf,51.9085703865125,4.43416696644073,Keilekwartier/M4H,"Werken; Werkplaats; Circulair",,Rotterdam Circulair
4,Katoenhuis,51.907310409874,4.43116690978969,Keilekwartier/M4H,Cultuur,,Welzijnscoalitie
5,Kunst & Complex,51.9085331297601,4.43048548933977,Keilekwartier/M4H,Cultuur,,Welzijnscoalitie
6,Brutus,51.9089565616213,4.43113079268265,Keilekwartier/M4H,Cultuur,,Welzijnscoalitie
7,Voedseltuin Rotterdam (M4H),51.9084683439982,4.43247160092112,Keilekwartier/M4H,"Groen; Voedsel",,Groen010
8,Buurttuin Dakpark Rotterdam,51.9078494039784,4.4393330660188,Keilekwartier/M4H,Groen,,Groen010
9,Materiaalhub M4H,51.909351397244,4.43323803121141,Keilekwartier/M4H,Circulair,,Rotterdam Circulair
10,Getijdenpark Keilehaven,51.9080794403811,4.43109492117194,Keilekwartier/M4H,Groen,,Groen010
11,Placebased,51.9087049568624,4.43420049957033,Keilekwartier/M4H,Werken,https://placebased.nl/,Rotterdam Circulair
13,Delfshaven Coöperatie,51.9103977705702,4.44842911122302,Delfshaven,Zorg,https://delfshavencooperatie.nl/,Welzijnscoalitie
15,Delfshaven Helpt,51.905,4.447,Delfshaven,Zorg,https://www.zorgvrijstaat.nl/delfshaven-helpt/,Welzijnscoalitie
16,Stadspark West,51.9314362667479,4.44945155005184,Delfshaven,Groen,https://stadsparkwest.nl/,Groen010
17,BoTu Buurthuiskamers,51.9116099835494,4.44146766236362,Bospolder-Tussendijken,Zorg,,Welzijnscoalitie
18,Stichting Art is Home,51.894180271837,4.50944678620909,Hillesluis,Cultuur,https://artishome.org/nl,Welzijnscoalitie
19,Stichting Schiezicht,51.9138232295695,4.4449438653345,Bospolder-Tussendijken,Zorg,https://www.schiezicht.com/,Welzijnscoalitie
20,TEX - Het Textielatelier,51.9116381954212,4.4424595039278,Bospolder-Tussendijken,Circulair,,Rotterdam Circulair
21,Stichting Rijnmond Multicultureel Centrum,51.9078612022286,4.44247344729122,Bospolder-Tussendijken,Zorg,,Welzijnscoalitie
22,Het Bollenpandje,51.9092289829257,4.44416226166616,Bospolder-Tussendijken,"Zorg; Circulair",,Welzijnscoalitie
23,Studio Delfshaven,51.908543228133,4.44677754455495,Bospolder-Tussendijken,Circulair,,Rotterdam Circulair
24,Wijkplatform Delfshaven Zuid,51.9120909247306,4.43965367511351,Bospolder-Tussendijken,Zorg,,Welzijnscoalitie
25,Weggeefwinkel Yess!,51.9099300459413,4.4420710364899,Bospolder-Tussendijken,Zorg,https://yess.nu/,Welzijnscoalitie
26,Doorgeefwinkel GoedGoed,51.911343304897,4.44283370294243,Bospolder-Tussendijken,Circulair,https://zwerfierotterdam.nl/,Rotterdam Circulair
27,Huis van de Toekomst BoTu,51.9124138035445,4.44286586106206,Bospolder-Tussendijken,"Energie; Wonen",https://www.huisvandetoekomst.org/,Energie van Rotterdam
28,Stichting Open Haard,51.9159581252949,4.43812770813124,Bospolder-Tussendijken,Zorg,https://stichtingopenhaard.nl,Welzijnscoalitie
